Review_ID,Transaction_ID,Product_ID,Rating,Review_Text
1,5405,4,3,Runs a bit small but works.
2,5858,78,3,Decent for the price.
3,8276,140,1,Shrinks instantly in the wash.
4,1579,77,2,Zipper broke on the second day.
5,6339,87,4,Great material and super soft.
6,8657,122,5,The fit is perfect.
7,3411,61,3,Runs a bit small but works.
8,7178,123,4,The fit is perfect.
9,5145,14,2,Zipper broke on the second day.
10,8924,43,4,Great material and super soft.
11,9257,93,1,Colors faded fast.
12,1112,6,5,Highly recommend this item.
13,6456,62,4,Great material and super soft.
14,4342,89,5,Great material and super soft.
15,8265,121,5,The fit is perfect.
16,8049,22,4,The fit is perfect.
17,1384,41,4,Looks exactly like the picture.
18,8772,27,3,Decent for the price.
19,7143,6,4,Absolutely love this!
20,6540,147,5,Great material and super soft.
21,1746,30,2,"Way too small, I can't even zip it."
22,5829,132,5,Absolutely love this!
23,4658,75,4,Highly recommend this item.
24,2756,78,5,Great material and super soft.
25,252,59,5,Great material and super soft.
26,7475,77,4,Highly recommend this item.
27,6081,141,4,Looks exactly like the picture.
28,8721,19,4,Great material and super soft.
29,4221,60,5,The fit is perfect.
30,5837,19,5,Great material and super soft.
31,8088,116,5,Highly recommend this item.
32,3647,5,4,Great material and super soft.
33,3729,89,4,Absolutely love this!
34,1246,110,5,The fit is perfect.
35,2234,66,4,Absolutely love this!
36,2616,95,5,The fit is perfect.
37,4230,75,4,Great material and super soft.
38,7951,3,2,Stitching came undone.
39,4608,131,4,Absolutely love this!
40,5800,148,4,The fit is perfect.
41,2493,142,2,Stitching came undone.
42,6912,100,2,Shrinks instantly in the wash.
43,2610,29,4,Great material and super soft.
44,7887,25,2,Colors faded fast.
45,3754,65,4,Absolutely love this!
46,8671,103,5,Highly recommend this item.
47,1262,88,5,The fit is perfect.
48,6717,90,5,Absolutely love this!
49,7243,71,5,Looks exactly like the picture.
50,7727,105,4,Looks exactly like the picture.
51,7308,118,3,"Not bad, but shipping took a while."
52,7221,78,4,Highly recommend this item.
53,8542,142,5,Looks exactly like the picture.
54,6962,27,4,Highly recommend this item.
55,6716,97,1,Stitching came undone.
56,2109,100,5,Absolutely love this!
57,6761,15,1,Stitching came undone.
58,7982,87,4,Highly recommend this item.
59,2883,11,3,"Not bad, but shipping took a while."
60,7476,141,4,Absolutely love this!
61,5763,15,4,Absolutely love this!
62,7443,116,1,Colors faded fast.
63,8608,3,4,Absolutely love this!
64,5961,27,4,Absolutely love this!
65,2719,74,5,Highly recommend this item.
66,7919,45,5,Looks exactly like the picture.
67,7637,56,4,Looks exactly like the picture.
68,2472,2,5,The fit is perfect.
69,5697,53,4,Looks exactly like the picture.
70,7866,62,4,Great material and super soft.
71,8010,146,3,It's okay.
72,3539,27,4,The fit is perfect.
73,7021,140,4,Highly recommend this item.
74,7701,81,2,Zipper broke on the second day.
75,4788,15,4,Looks exactly like the picture.
76,4,51,5,Looks exactly like the picture.
77,4185,116,4,Highly recommend this item.
78,1221,93,2,Shrinks instantly in the wash.
79,7032,49,4,Looks exactly like the picture.
80,6605,104,4,Great material and super soft.
81,8573,111,4,Highly recommend this item.
82,3203,134,4,Highly recommend this item.
83,5413,13,4,Absolutely love this!
84,1329,40,5,Absolutely love this!
85,2621,19,3,Average quality.
86,7377,38,5,Great material and super soft.
87,6226,64,4,Absolutely love this!
88,5075,110,3,"Not bad, but shipping took a while."
89,5857,138,4,Highly recommend this item.
90,4223,108,2,Sizes are completely wrong.
91,1069,33,2,Stitching came undone.
92,7323,86,4,Absolutely love this!
93,7587,70,5,The fit is perfect.
94,4462,10,5,Highly recommend this item.
95,6536,22,4,The fit is perfect.
96,3106,13,2,Sizes are completely wrong.
97,2019,105,4,Absolutely love this!
98,6419,2,4,Absolutely love this!
99,7403,11,5,Highly recommend this item.
100,5008,94,5,Highly recommend this item.
101,6335,104,5,Highly recommend this item.
102,6609,48,4,The fit is perfect.
103,2151,97,4,Highly recommend this item.
104,5365,26,3,It's okay.
105,2108,20,5,The fit is perfect.
106,1047,107,3,"Not bad, but shipping took a while."
107,8983,17,1,Shrinks instantly in the wash.
108,8923,72,2,"Way too small, I can't even zip it."
109,361,19,5,Absolutely love this!
110,4454,42,4,Highly recommend this item.
111,5636,121,4,Looks exactly like the picture.
112,5268,109,5,Absolutely love this!
113,2389,2,5,Absolutely love this!
114,3258,50,4,The fit is perfect.
115,6192,24,3,It's okay.
116,8040,105,5,Looks exactly like the picture.
117,3625,114,5,The fit is perfect.
118,3083,143,4,Looks exactly like the picture.
119,2909,28,4,Highly recommend this item.
120,1021,34,3,Runs a bit small but works.
121,3119,89,5,Absolutely love this!
122,2390,100,4,Absolutely love this!
123,6658,79,4,Great material and super soft.
124,1889,134,2,"Sizes are completely wrong. Also, the pockets are weird."
125,9314,132,5,Absolutely love this!
126,4724,12,4,Highly recommend this item.
127,953,79,3,Runs a bit small but works.
128,6095,76,4,The fit is perfect.
129,5521,80,4,The fit is perfect.
130,4602,105,4,Highly recommend this item.
131,8953,60,5,Highly recommend this item.
132,3353,40,4,Absolutely love this!
133,734,47,5,Looks exactly like the picture.
134,1035,112,2,"Way too small, I can't even zip it. Also, the pockets are weird."
135,2226,147,2,"Way too small, I can't even zip it."
136,1,45,3,Runs a bit small but works.
137,368,45,4,Great material and super soft.
138,6466,124,4,Great material and super soft.
139,8440,91,5,Great material and super soft.
140,5072,36,5,Great material and super soft.
141,1513,150,4,Absolutely love this!
142,2442,147,5,Looks exactly like the picture.
143,8256,102,3,It's okay.
144,8419,84,5,Great material and super soft.
145,2232,85,4,Absolutely love this!
146,1732,148,4,Great material and super soft.
147,4310,86,5,Absolutely love this!
148,783,104,4,Highly recommend this item.
149,7264,32,2,"Way too small, I can't even zip it."
150,3816,134,4,Great material and super soft.
151,5034,144,4,Highly recommend this item.
152,7276,120,5,Absolutely love this!
153,9109,79,4,Highly recommend this item.
154,6519,56,5,Absolutely love this!
155,8043,107,4,Absolutely love this!
156,3282,113,4,Looks exactly like the picture.
157,347,41,5,The fit is perfect.
158,3284,128,4,The fit is perfect.
159,2095,19,5,Looks exactly like the picture.
160,6514,131,4,Highly recommend this item.
161,1264,138,4,Absolutely love this!
162,8130,119,1,Shrinks instantly in the wash.
163,7385,56,4,Absolutely love this!
164,3027,64,3,Decent for the price.
165,5899,89,5,Highly recommend this item.
166,6395,16,3,It's okay.
167,5119,99,3,"Not bad, but shipping took a while."
168,2969,12,3,Average quality.
169,6038,97,2,"Terrible material, feels cheap. Also, the pockets are weird."
170,1483,5,4,Looks exactly like the picture.
171,5616,124,5,The fit is perfect.
172,1852,147,5,Highly recommend this item.
173,4195,38,5,The fit is perfect.
174,7245,92,5,Absolutely love this!
175,15,104,3,"Not bad, but shipping took a while."
176,6532,121,5,The fit is perfect.
177,6741,67,2,Sizes are completely wrong.
178,2752,101,4,Great material and super soft.
179,7009,85,4,Absolutely love this!
180,519,46,2,Colors faded fast.
181,3705,2,5,The fit is perfect.
