Transaction_ID,Customer_ID,Product_ID,Date,Time,Quantity,Total_Amount_Paid,Discount_Applied
1,777,45,2025-11-12,20:35:00,1,3318.96,0%
2,1384,55,2025-03-28,17:32:00,3,3659.6,20%
3,1297,86,2025-02-17,15:43:00,2,8350.85,0%
4,461,51,2025-09-01,10:29:00,2,2900.11,0%
5,1815,148,2025-12-23,20:15:00,1,5934.94,0%
6,1344,2,2025-12-23,09:35:00,1,8357.64,0%
7,1879,32,2025-03-10,18:48:00,2,3188.09,20%
8,1255,130,2025-10-08,13:47:00,2,11241.64,20%
9,922,67,2025-05-07,16:49:00,3,2781.23,0%
10,993,62,2025-06-21,18:57:00,3,6005.42,10%
11,166,36,2025-04-20,10:26:00,2,2285.17,0%
12,1854,150,2025-10-22,08:22:00,2,5921.0,0%
13,1544,100,2025-10-03,15:31:00,1,1376.12,20%
14,559,112,2025-09-06,08:24:00,2,17472.78,0%
15,1370,104,2025-03-26,12:39:00,3,3663.36,0%
16,56,101,2025-10-31,08:05:00,3,4007.8,0%
17,878,35,2025-07-14,22:20:00,2,1476.37,20%
18,1559,98,2025-05-23,21:16:00,1,15799.89,0%
19,964,5,2025-06-29,15:41:00,1,1804.93,0%
20,1600,11,2025-01-16,14:53:00,1,7963.7,0%
21,1273,40,2025-05-03,12:30:00,3,6317.12,0%
22,235,145,2025-04-22,16:49:00,2,7737.47,0%
23,344,30,2025-01-14,20:25:00,3,2936.54,15%
24,407,20,2025-02-22,17:54:00,3,3722.42,0%
25,1230,31,2025-01-22,21:42:00,2,5632.0,40%
26,142,130,2025-11-28,21:52:00,2,14052.05,0%
27,361,134,2025-11-12,23:29:00,2,11011.92,10%
28,1692,69,2025-05-06,10:17:00,2,6239.91,10%
29,500,119,2025-06-22,08:31:00,2,2377.33,20%
30,573,71,2025-09-22,10:15:00,3,9964.46,0%
31,833,126,2025-10-12,15:44:00,2,4022.62,0%
32,1323,126,2025-08-18,10:18:00,1,4022.62,0%
33,829,63,2025-06-06,19:30:00,3,1626.37,0%
34,1088,89,2025-10-09,22:17:00,2,2259.82,25%
35,515,60,2025-04-09,13:12:00,1,3411.89,0%
36,1513,124,2025-05-22,17:06:00,1,8358.49,0%
37,607,59,2025-01-08,12:17:00,1,2567.64,0%
38,1996,14,2025-10-11,17:44:00,1,8109.12,0%
39,1307,126,2025-01-07,23:30:00,2,4022.62,0%
40,698,48,2025-05-10,23:07:00,1,8532.04,15%
41,821,126,2025-10-23,09:09:00,1,4022.62,0%
42,1662,145,2025-08-02,15:49:00,3,7737.47,0%
43,780,116,2025-10-29,17:36:00,3,2926.91,0%
44,124,26,2025-05-03,13:35:00,1,2826.24,0%
45,321,1,2025-07-29,23:18:00,1,1619.33,0%
46,475,74,2025-12-28,17:44:00,2,9281.95,0%
47,146,60,2025-11-17,14:27:00,1,2558.92,25%
48,1116,58,2025-05-17,12:04:00,1,8531.09,0%
49,340,79,2025-11-01,17:28:00,1,3095.05,0%
50,960,78,2025-12-25,16:32:00,3,4694.33,0%
51,1012,113,2025-02-11,21:47:00,2,2098.07,0%
52,1237,65,2025-02-16,15:43:00,3,1447.63,15%
53,1203,6,2025-12-11,09:48:00,1,5814.18,0%
54,964,133,2025-10-27,23:05:00,2,6451.93,20%
55,713,105,2025-06-14,11:54:00,1,3714.86,10%
56,676,106,2025-05-28,20:52:00,3,15185.27,20%
57,76,117,2025-03-01,20:55:00,3,3388.63,0%
58,1690,1,2025-12-03,22:26:00,1,1619.33,0%
59,385,133,2025-07-05,23:40:00,2,8064.91,0%
60,1557,14,2025-03-09,17:28:00,3,8109.12,0%
61,993,32,2025-11-19,15:45:00,1,3985.11,0%
62,637,142,2025-01-08,10:14:00,1,3486.4,0%
63,946,31,2025-11-28,23:59:00,3,9386.66,0%
64,598,131,2025-05-20,23:30:00,1,1067.06,40%
65,936,142,2025-03-16,20:12:00,3,3486.4,0%
66,1041,35,2025-08-01,16:52:00,1,1845.46,0%
67,580,77,2025-10-28,23:55:00,1,2463.7,0%
68,915,138,2025-09-05,20:29:00,2,5435.66,0%
69,1781,49,2025-08-31,20:24:00,3,4669.1,0%
70,1623,39,2025-01-19,12:32:00,3,10761.72,25%
71,680,26,2025-03-15,21:55:00,3,2826.24,0%
72,1987,40,2025-02-08,23:50:00,2,6317.12,0%
73,694,102,2025-11-29,10:54:00,2,11810.33,0%
74,1265,18,2025-05-01,17:14:00,3,18817.42,0%
75,186,112,2025-02-20,11:28:00,1,17472.78,0%
76,1422,77,2025-07-11,15:33:00,2,2463.7,0%
77,1160,47,2025-03-29,13:05:00,3,6538.47,0%
78,1784,98,2025-09-12,12:14:00,2,15799.89,0%
79,1307,66,2025-05-11,08:57:00,2,4759.79,20%
80,1846,74,2025-12-13,13:04:00,2,9281.95,0%
81,1936,89,2025-08-06,22:54:00,2,3013.1,0%
82,408,99,2025-07-15,17:44:00,2,5610.23,0%
83,45,102,2025-12-18,09:58:00,3,11810.33,0%
84,1527,128,2025-05-27,15:38:00,2,7296.01,0%
85,449,49,2025-12-04,12:40:00,1,4669.1,0%
86,1500,34,2025-02-16,17:20:00,3,16569.34,0%
87,851,45,2025-03-09,19:33:00,3,2821.12,15%
88,1871,70,2025-05-12,23:51:00,2,1888.21,0%
89,1529,87,2025-08-28,12:48:00,1,3426.59,0%
90,1308,96,2025-01-13,18:58:00,3,14338.99,0%
91,454,17,2025-11-22,22:58:00,3,1484.07,0%
92,619,105,2025-03-01,12:02:00,1,4127.62,0%
93,624,127,2025-03-01,11:15:00,3,1967.48,0%
94,278,100,2025-08-21,21:37:00,3,1720.15,0%
95,1489,40,2025-08-01,23:39:00,2,6317.12,0%
96,1924,72,2025-12-20,19:13:00,2,3106.37,15%
97,911,61,2025-02-20,19:34:00,3,3710.34,25%
98,735,16,2025-03-04,22:05:00,3,4239.36,20%
99,435,6,2025-03-06,14:04:00,3,5814.18,0%
100,425,56,2025-06-18,08:17:00,1,4006.47,0%
101,357,68,2025-03-06,11:47:00,1,5922.75,0%
102,976,115,2025-07-05,11:28:00,3,4192.88,0%
103,454,12,2025-12-04,22:41:00,1,5486.45,0%
104,125,123,2025-08-07,23:45:00,2,7271.61,25%
105,151,21,2025-11-08,12:04:00,1,2512.6,10%
106,564,150,2025-07-15,17:29:00,3,5328.9,10%
107,1240,111,2025-12-02,14:27:00,2,12572.42,0%
108,1819,59,2025-06-23,20:26:00,3,2054.11,20%
109,195,81,2025-08-07,16:23:00,1,5057.92,0%
110,1407,122,2025-02-16,10:05:00,2,1962.27,0%
111,198,96,2025-03-08,09:37:00,3,14338.99,0%
112,1151,85,2025-07-01,21:55:00,3,8918.49,0%
113,106,74,2025-11-04,11:36:00,3,9281.95,0%
114,436,40,2025-12-03,11:22:00,3,6317.12,0%
115,753,30,2025-08-08,08:38:00,3,3109.28,10%
116,1699,69,2025-12-26,18:22:00,1,6933.23,0%
117,372,37,2025-10-17,10:09:00,3,4197.34,0%
118,1297,8,2025-02-16,14:24:00,2,6946.96,0%
119,930,88,2025-07-09,18:49:00,3,5960.76,0%
120,1222,22,2025-12-05,22:26:00,2,7420.86,0%
121,442,132,2025-06-26,17:43:00,3,3530.66,0%
122,524,75,2025-09-12,13:08:00,2,9903.26,0%
123,1091,59,2025-09-14,19:04:00,2,2567.64,0%
124,1765,11,2025-02-09,18:36:00,2,7963.7,0%
125,1175,104,2025-01-11,18:10:00,3,2930.69,20%
126,943,93,2025-02-15,21:54:00,1,6903.43,0%
127,499,112,2025-10-29,10:25:00,2,17472.78,0%
128,1528,87,2025-04-24,13:04:00,3,3426.59,0%
129,1297,30,2025-09-29,19:22:00,3,3454.75,0%
130,1963,38,2025-11-18,22:43:00,3,3909.5,0%
131,1317,83,2025-03-19,23:28:00,3,15210.11,10%
132,621,71,2025-01-29,10:19:00,2,5978.68,40%
133,1752,24,2025-08-25,09:28:00,3,12536.9,20%
134,1335,49,2025-06-14,23:32:00,1,4669.1,0%
135,1962,16,2025-06-25,10:32:00,3,5299.2,0%
136,326,94,2025-07-10,20:26:00,2,2316.7,0%
137,1391,14,2025-11-28,18:06:00,3,4865.47,40%
138,1390,99,2025-12-03,12:21:00,1,5610.23,0%
139,1194,37,2025-06-08,20:08:00,3,3777.61,10%
140,1452,22,2025-10-14,18:52:00,1,6678.77,10%
141,1373,135,2025-02-17,21:32:00,2,4616.51,0%
142,38,93,2025-06-08,13:13:00,2,6903.43,0%
143,1941,125,2025-04-26,12:09:00,1,18783.3,0%
144,1040,139,2025-09-27,09:42:00,2,12753.15,0%
145,1795,34,2025-12-21,13:46:00,2,13255.47,20%
146,1541,115,2025-08-29,14:23:00,3,3563.95,15%
147,1940,147,2025-08-14,17:49:00,2,7590.33,0%
148,1030,136,2025-08-03,13:52:00,1,7426.97,0%
149,1641,36,2025-09-04,11:45:00,3,2285.17,0%
150,1744,32,2025-09-20,12:53:00,2,3985.11,0%
151,188,57,2025-08-19,08:26:00,1,5465.56,0%
152,812,129,2025-05-01,10:23:00,1,6822.82,25%
153,58,82,2025-02-20,18:50:00,1,13924.86,0%
154,282,10,2025-05-27,23:44:00,1,20096.7,0%
155,1555,121,2025-04-21,21:07:00,2,6491.39,20%
156,487,78,2025-01-25,15:26:00,3,4694.33,0%
157,1626,118,2025-02-02,11:53:00,2,7582.36,0%
158,1223,138,2025-11-20,15:45:00,1,5435.66,0%
159,597,110,2025-11-11,21:11:00,3,2280.52,0%
160,1369,22,2025-09-26,10:33:00,3,7420.86,0%
161,1040,130,2025-10-11,08:24:00,2,14052.05,0%
162,90,100,2025-01-09,10:22:00,1,1720.15,0%
163,1502,27,2025-10-25,18:08:00,1,4048.27,0%
164,722,140,2025-06-23,13:53:00,3,3934.89,0%
165,952,123,2025-08-23,09:18:00,1,9695.48,0%
166,90,52,2025-01-22,17:32:00,2,10300.34,0%
167,1670,140,2025-08-31,16:02:00,3,3934.89,0%
168,560,32,2025-08-12,22:57:00,2,3586.6,10%
169,695,48,2025-12-21,23:23:00,3,8030.15,20%
170,547,22,2025-02-10,13:34:00,2,5936.69,20%
171,658,27,2025-06-17,17:28:00,3,4048.27,0%
172,1470,110,2025-03-27,19:28:00,1,2280.52,0%
173,1489,91,2025-11-11,16:40:00,1,2187.28,0%
174,154,104,2025-09-20,13:01:00,1,3297.02,10%
175,1739,113,2025-01-18,12:04:00,1,2098.07,0%
176,1595,94,2025-07-16,09:38:00,1,2085.03,10%
177,1391,116,2025-07-10,10:36:00,1,2195.18,25%
178,1085,94,2025-07-23,16:15:00,1,2316.7,0%
179,54,48,2025-09-13,20:58:00,3,10037.69,0%
180,242,68,2025-12-27,22:13:00,3,5330.48,10%
181,585,126,2025-02-07,22:05:00,3,4022.62,0%
182,1982,82,2025-06-27,17:57:00,2,8354.92,40%
183,1744,41,2025-12-31,13:50:00,2,3946.64,0%
184,1042,58,2025-04-13,12:15:00,2,8531.09,0%
